Date,APA,BA,BAX,BMY,CMCSA,CNP,CPB,DE,HPQ,JCI,JPM,LUV,MMC,MO,MSFT,NI,PCAR,PSA,SEE,T,TGT,TMO,TXT,VZ,ZION
2016-01-05,-0.020257091164353258,0.0040569778820716,0.004035602884967071,0.019692766082044066,0.00017968019638470167,0.009304501028536638,0.003677801909167444,0.005783389916558468,0.009482651342672677,-0.011953246840450849,0.0017289761135501625,0.011915911369520416,0.008284074405543462,0.020212212380294803,0.004562072439150189,0.01588147009683638,0.00021189160323897838,0.028236363495807826,0.009758297513673186,0.006986869697526599,0.017539051074544565,-0.0017297978159129812,0.0024097335123165475,0.0137344470315095,-0.010857559728537192
2016-01-06,-0.11486316839834398,-0.015878672929079407,0.0024112263951365787,-0.01755674569959298,-0.007726725590731398,-0.0124727802734943,-0.0017360236342174318,-0.01123878825748481,-0.03586700671445964,-0.009550843968139766,-0.014435772208890696,0.009185134754436941,-0.012050211408365374,0.010589426404913338,-0.018165339087457877,0.005546565274186177,0.0002118467146989822,0.0015917778658602888,-0.015646548340589428,0.003107867255386587,-0.010154824218889691,-0.007652632337060927,-0.030047771187526773,-0.009034438837544068,-0.029144633404721065
2016-01-07,-0.051388544375744694,-0.041921797042716036,-0.016572554138350126,-0.02769912626080462,-0.01104693162385495,-0.01976920804938631,-0.012206092062187923,-0.008855467206687173,-0.046058418812815693,-0.02539400754895238,-0.04043949400711344,-0.02100376432073725,-0.007577359627447211,-0.017407672168392896,-0.03478243928532598,-0.02206633232829802,-0.030309562596683826,-0.010410325923300934,-0.03155667669089757,-0.016148215179678793,-0.0026999946658674556,-0.02284520514108268,-0.020570546285334057,-0.005491878601025735,-0.03001963737416269
2016-01-08,0.0027361475312268624,-0.02270510551320626,-0.01603755324431133,-0.025425250078198958,0.0010986741956273693,-0.002240635412975145,0.005706579155386748,-0.01640192450072231,-0.017641592433871423,-0.0016488774458257582,-0.022399071890157107,0.006197802073881542,-0.013966395882738736,0.0017202478328297577,0.0030667592650044373,-0.0015380425384234897,-0.011365537011434834,-0.007308083751237815,-0.0014484919504665905,0.0008953045931427983,-0.033838687421100966,-0.0011163098299626917,-0.011386502957051126,-0.009719402892582107,-0.011253905098674744
2016-01-11,-0.043383603401764725,0.0016925722563041479,-0.016850302765275327,-0.010215204576156989,0.0009147727777774062,-0.011791510774542657,0.0056737017466148565,0.005287252995814784,0.006616421444190168,0.00033013367828838014,-0.0015275580691612722,-0.00402723219896528,-0.0145420408692154,0.02094767097543837,-0.0005731195740581452,0.016435372697900297,0.0,0.009869423543354072,-0.0014502705777633684,0.012224519489816732,0.014570117121472936,0.005366586598789969,-0.004606821983547893,0.0057995423429844095,-0.01991846989822721
2016-01-12,0.010268146496370978,0.013132689879810533,-0.0030911018459182094,0.0073039176751918955,0.002741034215980598,-0.0170453993635592,0.04046707910352221,0.0049894260114944355,0.015961999717819753,0.00957724129154136,0.002209523306298866,0.015223518665018698,0.009390701307172789,-0.0013452665438555833,0.009177905912233886,-0.012632620394502636,-0.0008848033507599107,0.0020026498465899323,0.00871479985968282,-0.0014729790866823134,0.012979798719737978,0.015495526289543538,0.004885427761740058,-0.003548602288231284,-0.004147779820574571
2016-01-13,0.005082123395394156,-0.028805583895498144,-0.01832019777573357,-0.03404787769230966,-0.024056729992722237,-0.013295060622468546,-0.012902060401433935,-0.01744458515130687,-0.02218088066188273,-0.024860728056265713,-0.027475730933342435,-0.05342076555945374,-0.00835397302430374,-0.026945024863013645,-0.021599259498999213,-0.00358225181637406,-0.019694752942147287,-0.0032777217914981005,-0.021598503833015315,-0.004719735210693576,-0.023446147649174187,-0.023363274258678013,-0.028915112688557842,-0.01736024460453245,-0.04664735812005394
2016-01-14,0.04016825194811502,0.008429681562479363,0.01378162226439561,0.036390388263704665,0.02801142782732513,0.032806487564075226,0.01326024418071392,0.005189736728498318,0.0037806821955184144,0.013753556902434738,0.01499809101324856,0.0017327869767687076,0.025655736685798125,0.0076150731470823185,0.028466316337307784,0.027221292374364214,0.03182870423092088,0.001523868388091154,0.013490538207627134,0.016597481169502437,-0.017169048292334343,0.015100577839522344,0.00026345384733805766,0.01630777738155298,0.004368743976483014
2016-01-15,-0.045908655814161814,-0.027631602425927437,-0.005947505373485873,-0.011494227621736242,-0.021072110649492548,-0.018718207966388234,-0.009347800146535246,-0.006521732675136338,-0.04802242874741702,0.002316457759560464,-0.01993126770228515,-0.0172968525218149,-0.02538726639679456,-0.017519886746990343,-0.03991714108005595,-0.013000268883748056,-0.00875079684335256,-0.004724826259390746,-0.009196661623133595,-0.009037899251561954,-0.00468696791813028,-0.022313856103923668,-0.016069609273332897,-0.009806186501068459,-0.02827278463809768
2016-01-19,-0.024058770378933447,0.0034227902698416024,0.007407350001556345,0.0068492750395081625,0.006680644062134089,0.011560705848829622,0.025287801876575422,-0.009026264462381417,-0.03461909122995932,0.007593144020711318,-0.0005260833795162068,-0.004274419267565888,-0.0011492734478203426,0.020979304282449984,-0.008432717577643078,0.015197921934474001,-0.006179572165925018,0.007604005918891321,-0.024181721053819216,0.015298739930064142,-0.01198636182039825,0.01619487450128254,-0.014725425104315737,0.009903300108912383,-0.01790530354159614
